# generlized Kondo-Heisenberg model
# Jh/U=0.25 n=1/2 L=36 Delta/t=2.0
# Local density of states at Fermi level
# U/W, site/L, LDOS
1.8 -4.2000000000000003E-002 2.61229
1.8 -4.0000000000000001E-002 2.87009
1.8 -3.7999999999999999E-002 2.36444
1.8 -3.5999999999999997E-002 2.007
1.8 -3.4000000000000002E-002 2.01767
1.8 -3.2000000000000001E-002 2.02556
1.8 -2.9999999999999999E-002 2.13069
1.8 -2.8000000000000001E-002 2.45239
1.8 -2.5999999999999999E-002 2.75688
1.8 -2.4000000000000000E-002 2.99579
1.8 -2.1999999999999999E-002 3.23966
1.8 -2.0000000000000000E-002 3.60323
1.8 -1.7999999999999999E-002 4.43466
1.8 -1.6000000000000000E-002 5.63352
1.8 -1.4000000000000000E-002 7.23677
1.8 -1.2000000000000000E-002 9.30675
1.8 -1.0000000000000000E-002 11.6847
1.8 -8.0000000000000002E-003 15.4824
1.8 -6.0000000000000001E-003 21.8897
1.8 -4.0000000000000001E-003 31.3894
1.8 -2.0000000000000000E-003 43.466
1.8 0.0000000000000000 50.0421
1.8 2.0000000000000000E-003 41.9963
1.8 4.0000000000000001E-003 29.7265
1.8 6.0000000000000001E-003 20.8494
1.8 8.0000000000000002E-003 14.6728
1.8 1.0000000000000000E-002 10.9979
1.8 1.2000000000000000E-002 8.88336
1.8 1.4000000000000000E-002 7.67265
1.8 1.6000000000000000E-002 5.76902
1.8 1.7999999999999999E-002 4.73421
1.8 2.0000000000000000E-002 3.70607
1.8 2.1999999999999999E-002 3.20443
1.8 2.4000000000000000E-002 2.99446
1.8 2.5999999999999999E-002 2.80318
1.8 2.8000000000000001E-002 2.92176
1.8 2.9999999999999999E-002 2.57348
1.8 3.2000000000000001E-002 2.31449
1.8 3.4000000000000002E-002 1.78696
1.8 3.5999999999999997E-002 1.61182
1.8 3.7999999999999999E-002 1.68023
1.8 4.0000000000000001E-002 1.59092
1.8 4.2000000000000003E-002 2.28735
1.8 4.3999999999999997E-002 2.32458
1.8 4.5999999999999999E-002 2.46975
1.8 4.8000000000000001E-002 2.25616
1.8 5.0000000000000003E-002 1.22987
      
1.9 -5.0000000000000003E-002 2.40928
1.9 -4.8000000000000001E-002 2.35324
1.9 -4.5999999999999999E-002 2.27621
1.9 -4.3999999999999997E-002 1.97772
1.9 -4.2000000000000003E-002 1.59942
1.9 -4.0000000000000001E-002 1.39102
1.9 -3.7999999999999999E-002 1.30088
1.9 -3.5999999999999997E-002 1.35777
1.9 -3.4000000000000002E-002 1.42974
1.9 -3.2000000000000001E-002 1.9407
1.9 -2.9999999999999999E-002 2.01291
1.9 -2.8000000000000001E-002 2.21729
1.9 -2.5999999999999999E-002 2.25386
1.9 -2.4000000000000000E-002 2.3074
1.9 -2.1999999999999999E-002 2.65261
1.9 -2.0000000000000000E-002 3.28905
1.9 -1.7999999999999999E-002 4.18986
1.9 -1.6000000000000000E-002 5.28119
1.9 -1.4000000000000000E-002 6.92772
1.9 -1.2000000000000000E-002 8.61018
1.9 -1.0000000000000000E-002 10.6695
1.9 -8.0000000000000002E-003 14.9926
1.9 -6.0000000000000001E-003 20.8114
1.9 -4.0000000000000001E-003 29.4237
1.9 -2.0000000000000000E-003 41.869
1.9 0.0000000000000000 49.0725
1.9 2.0000000000000000E-003 41.1636
1.9 4.0000000000000001E-003 28.7907
1.9 6.0000000000000001E-003 20.2456
1.9 8.0000000000000002E-003 14.6596
1.9 1.0000000000000000E-002 10.6612
1.9 1.2000000000000000E-002 8.39167
1.9 1.4000000000000000E-002 7.29597
1.9 1.6000000000000000E-002 5.90784
1.9 1.7999999999999999E-002 4.61781
1.9 2.0000000000000000E-002 3.49092
1.9 2.1999999999999999E-002 2.93953
1.9 2.4000000000000000E-002 2.50728
1.9 2.5999999999999999E-002 2.35054
1.9 2.8000000000000001E-002 2.38342
1.9 2.9999999999999999E-002 2.66196
1.9 3.2000000000000001E-002 2.40246
