# linewidth of dynamical spin structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 S=1/2
# k, n=1.25, 1.33, 1.40, 1.50, 1.60, 1.66, 1.75, 1.80

0.575 0.020564 0.025161 0.0662178 0.0606788 0.035526 0.0257126 0.021929 0.0165888
0.58 0.0203998 0.0258134 0.0656656 0.0602422 0.037492 0.023722 0.0220794 0.0162119
0.585 0.019626 0.028865 0.0685626 0.0649312 0.0310344 0.0210602 0.022078 0.0159183
0.59 0.0192376 0.0344682 0.0785298 0.0639622 0.0314004 0.020214 0.0223796 0.0161302
0.595 0.0202096 0.0408224 0.0929092 0.0613116 0.0326192 0.021126 0.0231386 0.01668
0.6 0.022302 0.046103 0.101484 0.0560588 0.0325602 0.021202 0.0237682 0.0170933
0.605 0.0237426 0.051654 0.0996872 0.0628198 0.030092 0.027006 0.0239784 0.0171256
0.61 0.0236454 0.0624188 0.0951372 0.0660582 0.0279272 0.0211112 0.0239596 0.0170648
0.615 0.0241294 0.0770732 0.0988468 0.0623886 0.0280828 0.023437 0.023858 0.0173979
0.62 0.025953 0.083336 0.110846 0.0605104 0.029252 0.021636 0.0235622 0.0182371
0.625 0.0279392 0.0827436 0.116 0.0629906 0.029048 0.0215106 0.0232976 0.0193003
0.63 0.028912 0.0862338 0.108688 0.0657044 0.028263 0.0208612 0.023466 0.0198055
0.635 0.0304782 0.0949578 0.102681 0.0653032 0.0277348 0.02932 0.0234428 0.0190599
0.64 0.0360236 0.0998692 0.106606 0.0656466 0.026242 0.03662 0.023187 0.0178411
0.645 0.0440278 0.100609 0.114136 0.0659626 0.0239002 0.0385228 0.0236838 0.0174029
0.65 0.0474496 0.10824 0.115916 0.0637582 0.0244734 0.0345044 0.0243732 0.0182931
0.655 0.0521138 0.125206 0.106779 0.0602236 0.0278546 0.020548 0.0248652 0.0199614
0.66 0.0639046 0.137824 0.102261 0.0580582 0.0296334 0.0233763 0.0240666 0.0208648
0.665 0.0691518 0.140615 0.109674 0.0554656 0.0290372 0.025942 0.0227678 0.0203318
0.67 0.0681668 0.14538 0.125993 0.0512912 0.029321 0.0338026 0.0223498 0.0191752
0.675 0.0667886 0.156676 0.135483 0.0508274 0.0301394 0.031016 0.0216056 0.0183451
0.68 0.0570424 0.163745 0.134239 0.0527904 0.0308106 0.030429 0.0202072 0.0181337
0.685 0.0557736 0.164167 0.130922 0.053967 0.0321882 0.0283024 0.0194143 0.0186973
0.69 0.060233 0.165083 0.130317 0.0539566 0.0341056 0.0263346 0.0200206 0.0197265
0.695 0.0692946 0.164102 0.132251 0.0544826 0.034854 0.0263258 0.0206566 0.0203304
0.7 0.0832326 0.157551 0.132384 0.0539364 0.0326446 0.0274452 0.020116 0.0200522
0.705 0.0954734 0.155171 0.129319 0.0490398 0.030756 0.0273518 0.0189726 0.0191017
0.71 0.105208 0.160295 0.127247 0.0424986 0.0307606 0.0269236 0.0183298 0.0184119
0.715 0.109227 0.164694 0.128652 0.0413442 0.031473 0.0286036 0.018366 0.0186447
0.72 0.113362 0.161934 0.131083 0.0440586 0.031414 0.0305116 0.0188562 0.0196829
0.725 0.126369 0.158614 0.131455 0.0446078 0.030571 0.029728 0.0195986 0.0210692
0.73 0.142591 0.163394 0.128694 0.0420208 0.0301992 0.027177 0.0201028 0.0222232
0.735 0.133705 0.169309 0.124828 0.040412 0.0301064 0.0256562 0.0199298 0.0225624
0.74 0.122933 0.164208 0.122404 0.0409988 0.0295218 0.0260626 0.0194745 0.0221734
0.745 0.135129 0.159744 0.121616 0.0426128 0.0289948 0.0263078 0.0193464 0.0218642
0.75 0.176478 0.158257 0.120005 0.0435016 0.0289134 0.025034 0.0194266 0.0219558
0.755 0.212322 0.156016 0.114645 0.0414828 0.0278618 0.0236042 0.0193143 0.0223752
0.76 0.2051 0.159687 0.107685 0.0395558 0.0256252 0.0232344 0.0190956 0.0227264
0.765 0.20123 0.160009 0.104191 0.0409852 0.024317 0.0235312 0.0192825 0.0225806
0.77 0.208726 0.163744 0.104755 0.044693 0.024435 0.0244256 0.0199028 0.022252
0.775 0.193634 0.160449 0.104152 0.046107 0.024627 0.0255344 0.020264 0.0220068
0.78 0.17102 0.149255 0.0998968 0.043284 0.024205 0.0253494 0.0195598 0.0219984
0.785 0.173881 0.140089 0.0955514 0.0431664 0.0232712 0.023608 0.0185394 0.0219584
0.79 0.195649 0.133206 0.0948442 0.0464762 0.0221718 0.022361 0.0182162 0.0215216
0.795 0.193261 0.127624 0.0974938 0.0473374 0.0208914 0.0230756 0.0183614 0.0214966
0.8 0.165539 0.126213 0.0988232 0.0447196 0.0200598 0.0243492 0.0187305 0.0223996
0.805 0.158366 0.128817 0.0982102 0.0424734 0.020721 0.0245122 0.0194278 0.023659
0.81 0.172318 0.131496 0.0968222 0.040853 0.022309 0.0239848 0.0203192 0.024414
0.815 0.180335 0.127678 0.092738 0.0385892 0.0232012 0.0240444 0.0212376 0.0238564
0.82 0.172523 0.121946 0.0860546 0.0362018 0.0231602 0.0246086 0.0222042 0.0224508
0.825 0.181846 0.118955 0.0809654 0.0346832 0.0229388 0.0248868 0.0228126 0.0217238
0.83 0.20705 0.116607 0.0805744 0.0336458 0.0226826 0.025131 0.0227538 0.0230818
0.835 0.209976 0.111364 0.0833542 0.0316674 0.021968 0.025865 0.0222634 0.025561
0.84 0.191364 0.105176 0.0844886 0.0288318 0.021486 0.0265392 0.0215522 0.0267006
0.845 0.190122 0.102479 0.0818474 0.0268376 0.0223708 0.0266226 0.0208546 0.0265234
0.85 0.20744 0.103049 0.0780894 0.026784 0.0239532 0.0260518 0.0201474 0.025551
0.855 0.199641 0.10427 0.0751316 0.0272738 0.0239814 0.025669 0.0201042 0.023958
0.86 0.16853 0.103729 0.0725628 0.026746 0.0228456 0.0253742 0.0211132 0.0225496
0.865 0.15873 0.103206 0.06962 0.0256166 0.0227896 0.0251276 0.022714 0.0217472
0.87 0.170175 0.104429 0.0667288 0.025155 0.0240398 0.0258526 0.0241568 0.0217144
0.875 0.168979 0.105551 0.0654758 0.0250022 0.0251302 0.0266238 0.024771 0.022664
0.88 0.146661 0.104948 0.0660248 0.0238062 0.024963 0.026282 0.024667 0.024038
0.885 0.141544 0.102762 0.065816 0.0219074 0.0242856 0.0257664 0.0242274 0.0246298
0.89 0.161228 0.0996998 0.0630888 0.0210378 0.0240304 0.0262342 0.0232042 0.0240058
0.895 0.175637 0.0964308 0.0589084 0.0218962 0.0241124 0.0268512 0.0217546 0.0226204
0.9 0.165596 0.0934426 0.0564594 0.02302 0.0244262 0.0266596 0.021487 0.0208908
0.905 0.156227 0.0924646 0.0559656 0.022441 0.025165 0.0256694 0.0228176 0.0200744
0.91 0.162774 0.091666 0.054463 0.0209408 0.0258872 0.0251994 0.0247826 0.0216294
0.915 0.169983 0.0894214 0.0514634 0.0206924 0.0256416 0.0250322 0.0264452 0.0245244
0.92 0.161837 0.0876312 0.0486888 0.0220756 0.0251308 0.0251538 0.0271554 0.0251506
0.925 0.153939 0.0898578 0.047703 0.0232816 0.025592 0.0253386 0.0268372 0.0230478
0.93 0.164282 0.096362 0.047863 0.0228076 0.0266096 0.0261144 0.0257576 0.020891
0.935 0.170825 0.099823 0.0473012 0.0215658 0.0270604 0.0263602 0.023856 0.0204878
0.94 0.159351 0.0936014 0.0451396 0.0213796 0.026694 0.0257096 0.021928 0.0213628
0.945 0.146735 0.0832628 0.0424404 0.022243 0.0265446 0.0257616 0.0214982 0.021908
0.95 0.144418 0.0783156 0.0414742 0.0231088 0.0269286 0.026731 0.0226216 0.021466
0.955 0.149101 0.0793048 0.0428322 0.023647 0.026688 0.0270688 0.0232502 0.0209122
0.96 0.14894 0.0803858 0.0438854 0.0242518 0.0259872 0.025243 0.0229058 0.0206422
0.965 0.146268 0.0787692 0.04242 0.024585 0.0262006 0.0228908 0.0234642 0.0203898
0.97 0.151063 0.0785294 0.0395584 0.0241778 0.027206 0.0232294 0.0247764 0.0205944
0.975 0.161935 0.0806282 0.0377036 0.0232194 0.0273744 0.0245328 0.0248896 0.021746
0.98 0.166849 0.081644 0.0374608 0.0226524 0.0263552 0.0245268 0.0238708 0.0228544
0.985 0.165055 0.0790206 0.0376872 0.0231184 0.0258654 0.0234516 0.024028 0.0225024
0.99 0.161317 0.075183 0.0374872 0.0240262 0.0268982 0.0233624 0.0257118 0.0214008
0.995 0.152673 0.0757562 0.037459 0.0243132 0.0280632 0.0240656 0.026444 0.0217512
1 0.141289 0.0803096 0.038067 0.0238676 0.0278682 0.0248454 0.0252714 0.0239262
