# generlized Kondo-Heisenberg model
# U/W=1 Jh/U=0.25 n=1/2 L=36 Delta/t=2.0
# Single particle spectral function
# site, frequency, A(k,omega)
1 0.32000000000000001 0.000299803
1 0.33000000000000002 0.000167396
1 0.34000000000000002 0.000314342
1 0.34999999999999998 -8.11178e-05
1 0.35999999999999999 0.000541135
1 0.37000000000000000 0.00112011
1 0.38000000000000000 0.000683243
1 0.39000000000000001 0.000880913
1 0.40000000000000002 2.26241e-05
1 0.40999999999999998 -0.00127016
1 0.41999999999999998 0.000854591
1 0.42999999999999999 0.00105773
1 0.44000000000000000 0.0010946
1 0.45000000000000001 0.00289698
1 0.46000000000000002 0.00478436
1 0.46999999999999997 0.00325569
1 0.47999999999999998 0.000981178
1 0.48999999999999999 0.000125657
1 0.50000000000000000 0.00493102
1 0.51000000000000001 0.000356147
1 0.52000000000000002 0.000166384
1 0.53000000000000003 0.00312497
1 0.54000000000000004 0.00740585
1 0.55000000000000004 0.00692405
1 0.56000000000000005 0.00181882
1 0.56999999999999995 0.00507871
1 0.57999999999999996 0.0113036
1 0.58999999999999997 0.00847512
1 0.59999999999999998 0.00945924
1 0.60999999999999999 0.00538042
1 0.62000000000000000 0.00724667
1 0.63000000000000000 0.0126257
1 0.64000000000000001 0.0135167
1 0.65000000000000002 0.00671559
1 0.66000000000000003 0.0071491
1 0.67000000000000004 0.0140047
1 0.68000000000000005 0.0158403
1 0.68999999999999995 0.0109775
1 0.69999999999999996 0.00599632
1 0.70999999999999996 0.00661509
1 0.71999999999999997 0.000118057
1 0.72999999999999998 0.00999226
1 0.73999999999999999 0.00301309
1 0.75000000000000000 0.00262554
1 0.76000000000000001 0.00244715
1 0.77000000000000002 0.0112492
1 0.78000000000000003 0.00328394
1 0.79000000000000004 0.0126596
1 0.80000000000000004 -0.00172848
1 0.81000000000000005 0.00508974
1 0.81999999999999995 0.00304523
1 0.82999999999999996 0.0133109
1 0.83999999999999997 0.0023784
1 0.84999999999999998 0.0197208
1 0.85999999999999999 0.0106833
1 0.87000000000000000 0.00204079
1 0.88000000000000000 -0.00116522
1 0.89000000000000001 -0.00303618
1 0.90000000000000002 0.0213594
1 0.91000000000000003 0.0194685
1 0.92000000000000004 0.0120166
1 0.93000000000000005 0.0139261
1 0.93999999999999995 0.0433121
1 0.94999999999999996 0.0163037
1 0.95999999999999996 0.0232417
1 0.96999999999999997 0.0318627
1 0.97999999999999998 0.0463485
1 0.98999999999999999 0.0651843
1 1.0000000000000000 0.0751335
1 1.0100000000000000 0.116191
1 1.0200000000000000 0.114466
1 1.0300000000000000 0.140551
1 1.0400000000000000 0.137941
1 1.0500000000000000 0.130227
1 1.0600000000000001 0.0936771
1 1.0700000000000001 0.067466
1 1.0800000000000001 0.0666598
1 1.0900000000000001 0.0543519
1 1.1000000000000001 0.0368585
1 1.1100000000000001 0.0310657
1 1.1200000000000001 0.0284928
1 1.1299999999999999 0.0260145
1 1.1399999999999999 0.0258739
1 1.1499999999999999 0.0200301
1 1.1599999999999999 0.0201958
1 1.1699999999999999 0.014436
1 1.1799999999999999 0.0105788
1 1.1899999999999999 0.0124378
1 1.2000000000000000 0.00882018
1 1.2100000000000000 0.00737028
1 1.2200000000000000 0.00744636
1 1.2300000000000000 0.00627479
1 1.2400000000000000 0.00634902
1 1.2500000000000000 0.00566211
1 1.2600000000000000 0.00508503
1 1.2700000000000000 0.00520207
1 1.2800000000000000 0.00430147
1 1.2900000000000000 0.00302444
1 1.3000000000000000 0.00481289
1 1.3100000000000001 0.00292885
1 1.3200000000000001 0.00212905
1 1.3300000000000001 0.00282863
1 1.3400000000000001 0.0034032
1 1.3500000000000001 0.00307332
1 1.3600000000000001 0.0036435
1 1.3700000000000001 0.00320616
1 1.3799999999999999 0.00402057
1 1.3899999999999999 0.00445495
1 1.3999999999999999 0.00192669
1 1.4099999999999999 0.00281375
1 1.4199999999999999 0.00434188
1 1.4299999999999999 0.00443487
1 1.4399999999999999 0.00335923
1 1.4500000000000000 -0.00300113
1 1.4600000000000000 0.00590057
1 1.4700000000000000 -0.0012816
1 1.4800000000000000 0.00403975
1 1.4900000000000000 0.000552277
1 1.5000000000000000 0.0212674
1 1.5100000000000000 0.000844231
1 1.5200000000000000 0.0132461
1 1.5300000000000000 -0.0154405
1 1.5400000000000000 -0.0185304
1 1.5500000000000000 0.00840793
1 1.5600000000000001 -0.00128846
1 1.5700000000000001 0.0502372
1 1.5800000000000001 -0.00676682
1 1.5900000000000001 0.0161098
1 1.6000000000000001 0.0293773
1 1.6100000000000001 -0.013393
1 1.6200000000000001 0.00431499
