# amplitude of the charge density oscillations
# two-orbital Hubbard model
# t=0.5 L=60 Jh=U/4 x=0.1
# x, U/W, amplitude

0.4 5.7 0.0224328
0.416667 5.7 0.0242363
0.433333 5.7 0.0248249
0.45 5.7 0.0243579
0.466667 5.7 0.0230042
0.483333 5.7 0.0182159
0.5 5.7 0
0 0 0
0 6.95 0
0.0166667 6.95 0.0247488
0.0333333 6.95 0.0361856
0.05 6.95 0.0583434
0.0666667 6.95 0.0638649
0.0833333 6.95 0.0673456
0.1 6.95 0.0638845
0.116667 6.95 0.0667798
0.133333 6.95 0.0706796
0.15 6.95 0.0847218
0.166667 6.95 0.077043
0.183333 6.95 0.0624299
0.2 6.95 0.039068
0.216667 6.95 0.0361748
0.233333 6.95 0.033286
0.25 6.95 0.0271906
0.266667 6.95 0.0225767
0.283333 6.95 0.0193059
0.3 6.95 0.0142803
0.316667 6.95 0.00990995
0.333333 6.95 0.00698976
0.35 6.95 0.0145563
0.366667 6.95 0.0188825
0.383333 6.95 0.02307
0.4 6.95 0.0249592
0.416667 6.95 0.0263352
0.433333 6.95 0.0271782
0.45 6.95 0.0266275
0.466667 6.95 0.0246986
0.483333 6.95 0.0190288
0.5 6.95 0
0 0 0
0 8.45 0
0.0166667 8.45 0.0268899
0.0333333 8.45 0.0557884
0.05 8.45 0.0776396
0.0666667 8.45 0.0812203
0.0833333 8.45 0.085328
0.1 8.45 0.0851568
0.116667 8.45 0.112945
0.133333 8.45 0.0886207
0.15 8.45 0.073313
0.166667 8.45 0.0605251
0.183333 8.45 0.0399546
0.2 8.45 0.0373973
0.216667 8.45 0.0340149
0.233333 8.45 0.0296225
0.25 8.45 0.0236542
0.266667 8.45 0.0185627
0.283333 8.45 0.0159415
0.3 8.45 0.0134157
0.316667 8.45 0.0110553
0.333333 8.45 0.00829428
0.35 8.45 0.0170812
0.366667 8.45 0.0227817
0.383333 8.45 0.025246
0.4 8.45 0.0279056
0.416667 8.45 0.0286312
0.433333 8.45 0.0283971
0.45 8.45 0.0278725
0.466667 8.45 0.0248967
0.483333 8.45 0.0190783
0.5 8.45 0
0 0 0
0 10.25 0
0.0166667 10.25 0.0366482
0.0333333 10.25 0.0707755
0.05 10.25 0.096912
0.0666667 10.25 0.134262
0.0833333 10.25 0.142835
0.1 10.25 0.131157
0.116667 10.25 0.0877477
0.133333 10.25 0.0711001
0.15 10.25 0.0617009
0.166667 10.25 0.0396662
0.183333 10.25 0.0385991
0.2 10.25 0.0362047
0.216667 10.25 0.0328414
0.233333 10.25 0.0273794
0.25 10.25 0.0199916
0.266667 10.25 0.0166343
0.283333 10.25 0.0137904
0.3 10.25 0.01249
0.316667 10.25 0.0139828
0.333333 10.25 0.0129898
0.35 10.25 0.0208722
0.366667 10.25 0.0251418
0.383333 10.25 0.0275898
0.4 10.25 0.0297067
0.416667 10.25 0.0303204
0.433333 10.25 0.0300812
0.45 10.25 0.0285056
0.466667 10.25 0.0255416
0.483333 10.25 0.0191877
0.5 10.25 0
0 0 0
0 12.5 0
0.0166667 12.5 0.0700571
0.0333333 12.5 0.0964436
0.05 12.5 0.144374
0.0666667 12.5 0.144484
0.0833333 12.5 0.138755
0.1 12.5 0.102225
0.116667 12.5 0.0691802
0.133333 12.5 0.0627156
0.15 12.5 0.0404697
0.166667 12.5 0.0394163
0.183333 12.5 0.0371941
0.2 12.5 0.0346842
0.216667 12.5 0.030857
0.233333 12.5 0.0257501
0.25 12.5 0.0161173
0.266667 12.5 0.013789
0.283333 12.5 0.0136457
0.3 12.5 0.0154918
0.316667 12.5 0.0162313
0.333333 12.5 0.0179446
0.35 12.5 0.0243212
0.366667 12.5 0.0274931
0.383333 12.5 0.0299062
0.4 12.5 0.0315321
0.416667 12.5 0.0321296
0.433333 12.5 0.0307141
0.45 12.5 0.0290596
0.466667 12.5 0.0256637
0.483333 12.5 0.0195954
0.5 12.5 0
0 0 0
