# two-orbital Hubbard model
# U/W=1.3 Jh/U=0.25 n=2.5 L=48
# single-particle spectral function A(q,omega) q=k*pi/L
# orbital gamma=2
# k, omega-Ef, A(q,omega)

0.0 3.88 0.00071677104873238
0.0 3.9 0.0006867556159502859
0.0 3.92 0.000638393289055903
0.0 3.94 0.0005961590322878243
0.0 3.96 0.0005921119123444636
0.0 3.98 0.0005975058145040893
0.0 4.0 0.0005207508471356681
 
0.06544984694978735 -6.0 0.000291892394227828
0.06544984694978735 -5.98 0.00034652169527099423
0.06544984694978735 -5.96 0.00032730529112188567
0.06544984694978735 -5.94 0.00033127732515616045
0.06544984694978735 -5.92 0.00029692102039727085
0.06544984694978735 -5.9 0.00032418315259917166
0.06544984694978735 -5.88 0.0003631187524951719
0.06544984694978735 -5.86 0.00040392276968512117
0.06544984694978735 -5.84 0.00045992727824486725
0.06544984694978735 -5.82 0.0003744251367489977
0.06544984694978735 -5.8 0.000371173411079174
0.06544984694978735 -5.78 0.00038593505375535543
0.06544984694978735 -5.76 0.00037698705430533043
0.06544984694978735 -5.74 0.0004213523153003095
0.06544984694978735 -5.72 0.0005163545403144077
0.06544984694978735 -5.7 0.0005081740109751187
0.06544984694978735 -5.68 0.0005315121568281077
0.06544984694978735 -5.66 0.000448886026758743
0.06544984694978735 -5.64 0.0004206134071018007
0.06544984694978735 -5.62 0.0004964270717342844
0.06544984694978735 -5.6 0.0006116944229010037
0.06544984694978735 -5.58 0.000508823353468186
0.06544984694978735 -5.56 0.0006082901725577509
0.06544984694978735 -5.54 0.0005560271776977963
0.06544984694978735 -5.52 0.0004937183038374992
0.06544984694978735 -5.5 0.0004899098939997875
0.06544984694978735 -5.48 0.000506276178053751
0.06544984694978735 -5.46 0.0006252783965652274
0.06544984694978735 -5.44 0.0005880633538154927
0.06544984694978735 -5.42 0.0006096909698213558
0.06544984694978735 -5.4 0.0005766408299241002
0.06544984694978735 -5.38 0.0005889900030344343
0.06544984694978735 -5.36 0.0006153376730061502
0.06544984694978735 -5.34 0.0007930155446587294
0.06544984694978735 -5.32 0.0006554114606689022
0.06544984694978735 -5.3 0.0007353226439481579
0.06544984694978735 -5.28 0.0006544576669471607
0.06544984694978735 -5.26 0.0006962966511340757
0.06544984694978735 -5.24 0.0007675107719839342
0.06544984694978735 -5.22 0.0006997261286887671
0.06544984694978735 -5.2 0.0008028446817033915
0.06544984694978735 -5.18 0.0008702144407233349
0.06544984694978735 -5.16 0.0006980691583846953
0.06544984694978735 -5.14 0.0008399003935083785
0.06544984694978735 -5.12 0.0008110176924551213
0.06544984694978735 -5.1 0.0008591266074964003
0.06544984694978735 -5.08 0.0007020480412085813
0.06544984694978735 -5.06 0.0008589776540832697
0.06544984694978735 -5.04 0.0008035925333245466
0.06544984694978735 -5.02 0.000780246529933822
0.06544984694978735 -5.0 0.0008319228756414355
0.06544984694978735 -4.98 0.0008940816045752362
0.06544984694978735 -4.96 0.0011043903096973325
0.06544984694978735 -4.94 0.0009090385654216786
0.06544984694978735 -4.92 0.001040956351049708
0.06544984694978735 -4.9 0.0011258255101369119
0.06544984694978735 -4.88 0.0010940282749743525
0.06544984694978735 -4.86 0.0011921368700268918
0.06544984694978735 -4.84 0.0012190391286704936
0.06544984694978735 -4.82 0.0011770325224025322
0.06544984694978735 -4.8 0.001209370801729529
0.06544984694978735 -4.78 0.00130321108163525
0.06544984694978735 -4.76 0.001313375359035229
0.06544984694978735 -4.74 0.0015020716876908403
0.06544984694978735 -4.72 0.0016376690562484447
0.06544984694978735 -4.7 0.002009538293619321
0.06544984694978735 -4.68 0.002066813698015754
0.06544984694978735 -4.66 0.0018546081984474755
0.06544984694978735 -4.64 0.0019134360591704712
0.06544984694978735 -4.62 0.0025257285215916385
0.06544984694978735 -4.6 0.0023862495978635915
0.06544984694978735 -4.58 0.0025044316504635043
0.06544984694978735 -4.56 0.00255172767225609
0.06544984694978735 -4.54 0.0028894494613972118
0.06544984694978735 -4.52 0.002601506502699325
0.06544984694978735 -4.5 0.0026990307443254037
0.06544984694978735 -4.48 0.003132487091108502
0.06544984694978735 -4.46 0.0033260027202427207
0.06544984694978735 -4.44 0.003858071440017727
0.06544984694978735 -4.42 0.0039117889802215405
0.06544984694978735 -4.4 0.004208407259517822
0.06544984694978735 -4.38 0.004604808812342624
0.06544984694978735 -4.36 0.0042704560024355385
0.06544984694978735 -4.34 0.004438572782238479
0.06544984694978735 -4.32 0.0051398989742560824
0.06544984694978735 -4.3 0.0054735730501339844
0.06544984694978735 -4.28 0.005923935885547802
0.06544984694978735 -4.26 0.006091358012255001
0.06544984694978735 -4.24 0.0062372035040235245
0.06544984694978735 -4.22 0.006571209554591864
0.06544984694978735 -4.2 0.00713598817129504
0.06544984694978735 -4.18 0.006719884640051223
0.06544984694978735 -4.16 0.007061087775473734
0.06544984694978735 -4.14 0.006639343023016221
0.06544984694978735 -4.12 0.0076004032945681385
0.06544984694978735 -4.1 0.007901525774368246
0.06544984694978735 -4.08 0.008634897854095219
0.06544984694978735 -4.06 0.006744000438669009
0.06544984694978735 -4.04 0.007515948790906662
0.06544984694978735 -4.02 0.007223797241926758
0.06544984694978735 -4.0 0.006854624512931602
0.06544984694978735 -3.98 0.006514804774379631
0.06544984694978735 -3.96 0.007300911480322428
0.06544984694978735 -3.94 0.007441245255520571
0.06544984694978735 -3.92 0.007658888733061291
0.06544984694978735 -3.9 0.009911008000361541
0.06544984694978735 -3.88 0.009572162353092028
0.06544984694978735 -3.86 0.010253256317809128
0.06544984694978735 -3.84 0.009471499158994832
0.06544984694978735 -3.82 0.009409524449813375
0.06544984694978735 -3.8 0.011778099353078216
0.06544984694978735 -3.78 0.012411217419351172
0.06544984694978735 -3.76 0.012908890304573326
0.06544984694978735 -3.74 0.014425889550388602
0.06544984694978735 -3.72 0.014401294277981565
0.06544984694978735 -3.7 0.016277566355830362
0.06544984694978735 -3.68 0.02099554913366857
0.06544984694978735 -3.66 0.023060397506958655
0.06544984694978735 -3.64 0.02263620151560801
0.06544984694978735 -3.62 0.024716703303381965
0.06544984694978735 -3.6 0.02395955692208458
0.06544984694978735 -3.58 0.026860459416326497
0.06544984694978735 -3.56 0.027165576887060304
0.06544984694978735 -3.54 0.028766065107413183
0.06544984694978735 -3.52 0.025498805110843487
0.06544984694978735 -3.5 0.02823156926344826
0.06544984694978735 -3.48 0.028099976863247694
0.06544984694978735 -3.46 0.026857713938533676
0.06544984694978735 -3.44 0.021716883361267113
0.06544984694978735 -3.42 0.020010409297414274
0.06544984694978735 -3.4 0.017564002026884906
0.06544984694978735 -3.38 0.017576185896619863
0.06544984694978735 -3.36 0.0176022047708324
0.06544984694978735 -3.34 0.01460082563784179
0.06544984694978735 -3.32 0.01373106709122512
0.06544984694978735 -3.3 0.01490871128919793
0.06544984694978735 -3.28 0.012848884862726617
0.06544984694978735 -3.26 0.012980782720546716
0.06544984694978735 -3.24 0.013414667174837627
0.06544984694978735 -3.22 0.01155645415137156
0.06544984694978735 -3.2 0.010807627794908315
0.06544984694978735 -3.18 0.010600050559984845
0.06544984694978735 -3.16 0.010862202179118685
0.06544984694978735 -3.14 0.00858551112968637
0.06544984694978735 -3.12 0.009213097689189905
0.06544984694978735 -3.1 0.008541220286370868
0.06544984694978735 -3.08 0.008996925735239223
0.06544984694978735 -3.06 0.009867415570755517
0.06544984694978735 -3.04 0.008710808711650862
0.06544984694978735 -3.02 0.009599482160912194
0.06544984694978735 -3.0 0.009636404700787684
0.06544984694978735 -2.98 0.008735705042331666
0.06544984694978735 -2.96 0.009107753308301518
0.06544984694978735 -2.94 0.008356159536498086
0.06544984694978735 -2.92 0.009958506344140498
0.06544984694978735 -2.9 0.00838428996115542
0.06544984694978735 -2.88 0.008382350692682866
0.06544984694978735 -2.86 0.008361218866266458
0.06544984694978735 -2.84 0.00866592238499251
0.06544984694978735 -2.82 0.009897852456893313
0.06544984694978735 -2.8 0.00887091847967759
0.06544984694978735 -2.78 0.008780635482138938
0.06544984694978735 -2.76 0.008329784365685176
0.06544984694978735 -2.74 0.008471657169794346
0.06544984694978735 -2.72 0.009510952801925453
0.06544984694978735 -2.7 0.00845482713523436
0.06544984694978735 -2.68 0.00944189641467435
0.06544984694978735 -2.66 0.00859809664464494
0.06544984694978735 -2.64 0.008867852815451858
0.06544984694978735 -2.62 0.008409947896735138
0.06544984694978735 -2.6 0.00859115125615845
0.06544984694978735 -2.58 0.007665339985848573
0.06544984694978735 -2.56 0.007301493015318923
0.06544984694978735 -2.54 0.00794106465101553
0.06544984694978735 -2.52 0.008388260946399086
0.06544984694978735 -2.5 0.007999511703927412
0.06544984694978735 -2.48 0.008007362503801563
0.06544984694978735 -2.46 0.008732768581105837
0.06544984694978735 -2.44 0.00960209807481275
0.06544984694978735 -2.42 0.008801723900600515
0.06544984694978735 -2.4 0.009596487711791354
0.06544984694978735 -2.38 0.010447051587830434
0.06544984694978735 -2.36 0.011071942156625079
0.06544984694978735 -2.34 0.01170868496933031
0.06544984694978735 -2.32 0.011991929759852357
0.06544984694978735 -2.3 0.01254506870020859
0.06544984694978735 -2.28 0.012422685926720262
0.06544984694978735 -2.26 0.013943882958129606
0.06544984694978735 -2.24 0.013975639581108193
0.06544984694978735 -2.22 0.013768668482967629
0.06544984694978735 -2.2 0.015436778017232422
0.06544984694978735 -2.18 0.015515816377669382
0.06544984694978735 -2.16 0.014606063919094765
0.06544984694978735 -2.14 0.015096201580932741
0.06544984694978735 -2.12 0.016035680965982825
0.06544984694978735 -2.1 0.017248532956672436
0.06544984694978735 -2.08 0.016670080336406604
0.06544984694978735 -2.06 0.016455226236316168
0.06544984694978735 -2.04 0.01766393943322512
