# generalized Kondo-Heisenberg model
# U/W=1.3 Jh/U=0.25 n=1.5 L=48
# density-of-states DOS(omega)
# omega-Ef, DOS(omega)

-1.34675 1.393887985659899784e-02
-1.32675 1.471281714167325429e-02
-1.30675 1.526912278876705470e-02
-1.28675 1.651165125163598507e-02
-1.26675 1.747225251186691405e-02
-1.24675 1.917441712648746549e-02
-1.22675 2.131025043449973413e-02
-1.20675 2.388731097304605880e-02
-1.18675 2.736655819956316030e-02
-1.16675 3.123042196553729027e-02
-1.14675 3.532274397303736269e-02
-1.12675 4.071389841198883031e-02
-1.10675 4.666339923602819129e-02
-1.08675 5.333882210608320573e-02
-1.06675 6.030456699987066932e-02
-1.04675 6.734406530045257411e-02
-1.02675 7.027175261107557191e-02
-1.00675 7.017137931423327035e-02
-0.98675 6.776475672989074051e-02
-0.96675 6.617036550861311872e-02
-0.94675 6.491717423299837864e-02
-0.92675 6.399971565800752216e-02
-0.90675 6.432147636248751466e-02
-0.88675 6.479972950342575977e-02
-0.86675 6.455976529030313382e-02
-0.84675 6.598283513126210198e-02
-0.82675 6.837627647389406260e-02
-0.80675 7.007111484264279266e-02
-0.78675 7.212989500300295842e-02
-0.76675 7.410146338318655823e-02
-0.74675 7.569459474969915391e-02
-0.72675 7.707556972137662166e-02
-0.70675 7.782226820079606033e-02
-0.68675 7.810164030364005749e-02
-0.66675 7.866984470748797365e-02
-0.64675 7.931154475120900937e-02
-0.62675 7.992236824323459277e-02
-0.60675 8.046020966931372032e-02
-0.58675 8.139289437173816144e-02
-0.56675 8.190916012460798534e-02
-0.54675 8.215292894467159102e-02
-0.52675 8.255132770485178184e-02
-0.50675 8.247220668316089520e-02
-0.48675 8.219034567055029383e-02
-0.46675 8.215768689007579839e-02
-0.44675 8.263335236471078260e-02
-0.42675 8.334456984338839414e-02
-0.40675 8.428690690363226101e-02
-0.38675 8.582386618675466594e-02
-0.36675 8.754809651866850284e-02
-0.34675 8.919262795431363855e-02
-0.32675 9.058559461705109617e-02
-0.30675 9.215837690840714136e-02
-0.28675 9.349577624660464215e-02
-0.26675 9.521511098212301349e-02
-0.24675 9.708876624390593013e-02
-0.22675 9.876888542625407441e-02
-0.20675 1.000448751889523175e-01
-0.18675 1.004992719158095821e-01
-0.16675 9.973706167671958500e-02
-0.14675 9.706805024558272377e-02
-0.12675 9.090531823097731945e-02
-0.10675 8.027432841792735141e-02
-0.08675 6.570828641395926040e-02
-0.06675 5.054311285475906329e-02
-0.04675 3.849284185814316056e-02
-0.02675 3.140733000794009022e-02
